date,series_id,value,series_description,frequency,frequency_description,units,units_description,project
2010-02-27,CCSA,4755000,Continuing Claims,w,weekly,lin,level,dashboard
2010-03-06,CCSA,4766000,Continuing Claims,w,weekly,lin,level,dashboard
2010-03-13,CCSA,4750000,Continuing Claims,w,weekly,lin,level,dashboard
2010-03-20,CCSA,4743000,Continuing Claims,w,weekly,lin,level,dashboard
2010-03-27,CCSA,4668000,Continuing Claims,w,weekly,lin,level,dashboard
2010-04-03,CCSA,4755000,Continuing Claims,w,weekly,lin,level,dashboard
2010-04-10,CCSA,4746000,Continuing Claims,w,weekly,lin,level,dashboard
2010-04-17,CCSA,4721000,Continuing Claims,w,weekly,lin,level,dashboard
2010-04-24,CCSA,4690000,Continuing Claims,w,weekly,lin,level,dashboard
2010-05-01,CCSA,4695000,Continuing Claims,w,weekly,lin,level,dashboard
2010-05-08,CCSA,4707000,Continuing Claims,w,weekly,lin,level,dashboard
2010-05-15,CCSA,4688000,Continuing Claims,w,weekly,lin,level,dashboard
2010-05-22,CCSA,4731000,Continuing Claims,w,weekly,lin,level,dashboard
2010-05-29,CCSA,4553000,Continuing Claims,w,weekly,lin,level,dashboard
2010-06-05,CCSA,4624000,Continuing Claims,w,weekly,lin,level,dashboard
2010-06-12,CCSA,4606000,Continuing Claims,w,weekly,lin,level,dashboard
2010-06-19,CCSA,4619000,Continuing Claims,w,weekly,lin,level,dashboard
2010-06-26,CCSA,4484000,Continuing Claims,w,weekly,lin,level,dashboard
2010-07-03,CCSA,4620000,Continuing Claims,w,weekly,lin,level,dashboard
2010-07-10,CCSA,4482000,Continuing Claims,w,weekly,lin,level,dashboard
2010-07-17,CCSA,4545000,Continuing Claims,w,weekly,lin,level,dashboard
2010-07-24,CCSA,4529000,Continuing Claims,w,weekly,lin,level,dashboard
2010-07-31,CCSA,4467000,Continuing Claims,w,weekly,lin,level,dashboard
2010-08-07,CCSA,4478000,Continuing Claims,w,weekly,lin,level,dashboard
2010-08-14,CCSA,4432000,Continuing Claims,w,weekly,lin,level,dashboard
2010-08-21,CCSA,4426000,Continuing Claims,w,weekly,lin,level,dashboard
2010-08-28,CCSA,4509000,Continuing Claims,w,weekly,lin,level,dashboard
2010-09-04,CCSA,4501000,Continuing Claims,w,weekly,lin,level,dashboard
2010-09-11,CCSA,4487000,Continuing Claims,w,weekly,lin,level,dashboard
2010-09-18,CCSA,4452000,Continuing Claims,w,weekly,lin,level,dashboard
2010-09-25,CCSA,4431000,Continuing Claims,w,weekly,lin,level,dashboard
2010-10-02,CCSA,4407000,Continuing Claims,w,weekly,lin,level,dashboard
2010-10-09,CCSA,4403000,Continuing Claims,w,weekly,lin,level,dashboard
2010-10-16,CCSA,4348000,Continuing Claims,w,weekly,lin,level,dashboard
2010-10-23,CCSA,4331000,Continuing Claims,w,weekly,lin,level,dashboard
2010-10-30,CCSA,4328000,Continuing Claims,w,weekly,lin,level,dashboard
2010-11-06,CCSA,4270000,Continuing Claims,w,weekly,lin,level,dashboard
2010-11-13,CCSA,4176000,Continuing Claims,w,weekly,lin,level,dashboard
2010-11-20,CCSA,4218000,Continuing Claims,w,weekly,lin,level,dashboard
2010-11-27,CCSA,4118000,Continuing Claims,w,weekly,lin,level,dashboard
2010-12-04,CCSA,4137000,Continuing Claims,w,weekly,lin,level,dashboard
2010-12-11,CCSA,4062000,Continuing Claims,w,weekly,lin,level,dashboard
2010-12-18,CCSA,4113000,Continuing Claims,w,weekly,lin,level,dashboard
2010-12-25,CCSA,4088000,Continuing Claims,w,weekly,lin,level,dashboard
2011-01-01,CCSA,3898000,Continuing Claims,w,weekly,lin,level,dashboard
2011-01-08,CCSA,3907000,Continuing Claims,w,weekly,lin,level,dashboard
2011-01-15,CCSA,3974000,Continuing Claims,w,weekly,lin,level,dashboard
2011-01-22,CCSA,3926000,Continuing Claims,w,weekly,lin,level,dashboard
2011-01-29,CCSA,3887000,Continuing Claims,w,weekly,lin,level,dashboard
2011-02-05,CCSA,3928000,Continuing Claims,w,weekly,lin,level,dashboard
2011-02-12,CCSA,3839000,Continuing Claims,w,weekly,lin,level,dashboard
2011-02-19,CCSA,3821000,Continuing Claims,w,weekly,lin,level,dashboard
2011-02-26,CCSA,3809000,Continuing Claims,w,weekly,lin,level,dashboard
2011-03-05,CCSA,3772000,Continuing Claims,w,weekly,lin,level,dashboard
2011-03-12,CCSA,3772000,Continuing Claims,w,weekly,lin,level,dashboard
2011-03-19,CCSA,3752000,Continuing Claims,w,weekly,lin,level,dashboard
2011-03-26,CCSA,3766000,Continuing Claims,w,weekly,lin,level,dashboard
2011-04-02,CCSA,3756000,Continuing Claims,w,weekly,lin,level,dashboard
2011-04-09,CCSA,3751000,Continuing Claims,w,weekly,lin,level,dashboard
2011-04-16,CCSA,3717000,Continuing Claims,w,weekly,lin,level,dashboard
2011-04-23,CCSA,3796000,Continuing Claims,w,weekly,lin,level,dashboard
2011-04-30,CCSA,3834000,Continuing Claims,w,weekly,lin,level,dashboard
2011-05-07,CCSA,3787000,Continuing Claims,w,weekly,lin,level,dashboard
2011-05-14,CCSA,3781000,Continuing Claims,w,weekly,lin,level,dashboard
2011-05-21,CCSA,3799000,Continuing Claims,w,weekly,lin,level,dashboard
2011-05-28,CCSA,3728000,Continuing Claims,w,weekly,lin,level,dashboard
2011-06-04,CCSA,3750000,Continuing Claims,w,weekly,lin,level,dashboard
2011-06-11,CCSA,3746000,Continuing Claims,w,weekly,lin,level,dashboard
2011-06-18,CCSA,3752000,Continuing Claims,w,weekly,lin,level,dashboard
2011-06-25,CCSA,3719000,Continuing Claims,w,weekly,lin,level,dashboard
2011-07-02,CCSA,3733000,Continuing Claims,w,weekly,lin,level,dashboard
2011-07-09,CCSA,3724000,Continuing Claims,w,weekly,lin,level,dashboard
2011-07-16,CCSA,3734000,Continuing Claims,w,weekly,lin,level,dashboard
2011-07-23,CCSA,3741000,Continuing Claims,w,weekly,lin,level,dashboard
2011-07-30,CCSA,3676000,Continuing Claims,w,weekly,lin,level,dashboard
2011-08-06,CCSA,3709000,Continuing Claims,w,weekly,lin,level,dashboard
2011-08-13,CCSA,3717000,Continuing Claims,w,weekly,lin,level,dashboard
2011-08-20,CCSA,3715000,Continuing Claims,w,weekly,lin,level,dashboard
2011-08-27,CCSA,3723000,Continuing Claims,w,weekly,lin,level,dashboard
2011-09-03,CCSA,3759000,Continuing Claims,w,weekly,lin,level,dashboard
2011-09-10,CCSA,3758000,Continuing Claims,w,weekly,lin,level,dashboard
2011-09-17,CCSA,3747000,Continuing Claims,w,weekly,lin,level,dashboard
2011-09-24,CCSA,3707000,Continuing Claims,w,weekly,lin,level,dashboard
2011-10-01,CCSA,3697000,Continuing Claims,w,weekly,lin,level,dashboard
2011-10-08,CCSA,3731000,Continuing Claims,w,weekly,lin,level,dashboard
2011-10-15,CCSA,3704000,Continuing Claims,w,weekly,lin,level,dashboard
2011-10-22,CCSA,3699000,Continuing Claims,w,weekly,lin,level,dashboard
2011-10-29,CCSA,3677000,Continuing Claims,w,weekly,lin,level,dashboard
2011-11-05,CCSA,3603000,Continuing Claims,w,weekly,lin,level,dashboard
2011-11-12,CCSA,3676000,Continuing Claims,w,weekly,lin,level,dashboard
2011-11-19,CCSA,3739000,Continuing Claims,w,weekly,lin,level,dashboard
2011-11-26,CCSA,3592000,Continuing Claims,w,weekly,lin,level,dashboard
2011-12-03,CCSA,3595000,Continuing Claims,w,weekly,lin,level,dashboard
2011-12-10,CCSA,3543000,Continuing Claims,w,weekly,lin,level,dashboard
2011-12-17,CCSA,3588000,Continuing Claims,w,weekly,lin,level,dashboard
2011-12-24,CCSA,3575000,Continuing Claims,w,weekly,lin,level,dashboard
2011-12-31,CCSA,3566000,Continuing Claims,w,weekly,lin,level,dashboard
2012-01-07,CCSA,3421000,Continuing Claims,w,weekly,lin,level,dashboard
2012-01-14,CCSA,3511000,Continuing Claims,w,weekly,lin,level,dashboard
2012-01-21,CCSA,3419000,Continuing Claims,w,weekly,lin,level,dashboard
2012-01-28,CCSA,3454000,Continuing Claims,w,weekly,lin,level,dashboard
2012-02-04,CCSA,3391000,Continuing Claims,w,weekly,lin,level,dashboard
2012-02-11,CCSA,3362000,Continuing Claims,w,weekly,lin,level,dashboard
2012-02-18,CCSA,3382000,Continuing Claims,w,weekly,lin,level,dashboard
2012-02-25,CCSA,3392000,Continuing Claims,w,weekly,lin,level,dashboard
2012-03-03,CCSA,3367000,Continuing Claims,w,weekly,lin,level,dashboard
2012-03-10,CCSA,3353000,Continuing Claims,w,weekly,lin,level,dashboard
2012-03-17,CCSA,3342000,Continuing Claims,w,weekly,lin,level,dashboard
2012-03-24,CCSA,3336000,Continuing Claims,w,weekly,lin,level,dashboard
2012-03-31,CCSA,3286000,Continuing Claims,w,weekly,lin,level,dashboard
2012-04-07,CCSA,3325000,Continuing Claims,w,weekly,lin,level,dashboard
2012-04-14,CCSA,3355000,Continuing Claims,w,weekly,lin,level,dashboard
2012-04-21,CCSA,3316000,Continuing Claims,w,weekly,lin,level,dashboard
2012-04-28,CCSA,3296000,Continuing Claims,w,weekly,lin,level,dashboard
2012-05-05,CCSA,3326000,Continuing Claims,w,weekly,lin,level,dashboard
2012-05-12,CCSA,3334000,Continuing Claims,w,weekly,lin,level,dashboard
2012-05-19,CCSA,3301000,Continuing Claims,w,weekly,lin,level,dashboard
2012-05-26,CCSA,3351000,Continuing Claims,w,weekly,lin,level,dashboard
2012-06-02,CCSA,3327000,Continuing Claims,w,weekly,lin,level,dashboard
2012-06-09,CCSA,3343000,Continuing Claims,w,weekly,lin,level,dashboard
2012-06-16,CCSA,3323000,Continuing Claims,w,weekly,lin,level,dashboard
2012-06-23,CCSA,3325000,Continuing Claims,w,weekly,lin,level,dashboard
2012-06-30,CCSA,3304000,Continuing Claims,w,weekly,lin,level,dashboard
2012-07-07,CCSA,3314000,Continuing Claims,w,weekly,lin,level,dashboard
2012-07-14,CCSA,3307000,Continuing Claims,w,weekly,lin,level,dashboard
2012-07-21,CCSA,3290000,Continuing Claims,w,weekly,lin,level,dashboard
2012-07-28,CCSA,3312000,Continuing Claims,w,weekly,lin,level,dashboard
2012-08-04,CCSA,3302000,Continuing Claims,w,weekly,lin,level,dashboard
2012-08-11,CCSA,3296000,Continuing Claims,w,weekly,lin,level,dashboard
2012-08-18,CCSA,3306000,Continuing Claims,w,weekly,lin,level,dashboard
2012-08-25,CCSA,3321000,Continuing Claims,w,weekly,lin,level,dashboard
2012-09-01,CCSA,3327000,Continuing Claims,w,weekly,lin,level,dashboard
2012-09-08,CCSA,3312000,Continuing Claims,w,weekly,lin,level,dashboard
2012-09-15,CCSA,3316000,Continuing Claims,w,weekly,lin,level,dashboard
2012-09-22,CCSA,3308000,Continuing Claims,w,weekly,lin,level,dashboard
2012-09-29,CCSA,3309000,Continuing Claims,w,weekly,lin,level,dashboard
2012-10-06,CCSA,3295000,Continuing Claims,w,weekly,lin,level,dashboard
2012-10-13,CCSA,3302000,Continuing Claims,w,weekly,lin,level,dashboard
2012-10-20,CCSA,3285000,Continuing Claims,w,weekly,lin,level,dashboard
2012-10-27,CCSA,3223000,Continuing Claims,w,weekly,lin,level,dashboard
2012-11-03,CCSA,3368000,Continuing Claims,w,weekly,lin,level,dashboard
2012-11-10,CCSA,3364000,Continuing Claims,w,weekly,lin,level,dashboard
2012-11-17,CCSA,3325000,Continuing Claims,w,weekly,lin,level,dashboard
2012-11-24,CCSA,3248000,Continuing Claims,w,weekly,lin,level,dashboard
2012-12-01,CCSA,3195000,Continuing Claims,w,weekly,lin,level,dashboard
2012-12-08,CCSA,3229000,Continuing Claims,w,weekly,lin,level,dashboard
2012-12-15,CCSA,3179000,Continuing Claims,w,weekly,lin,level,dashboard
2012-12-22,CCSA,3221000,Continuing Claims,w,weekly,lin,level,dashboard
2012-12-29,CCSA,3127000,Continuing Claims,w,weekly,lin,level,dashboard
2013-01-05,CCSA,3147000,Continuing Claims,w,weekly,lin,level,dashboard
2013-01-12,CCSA,3108000,Continuing Claims,w,weekly,lin,level,dashboard
2013-01-19,CCSA,3138000,Continuing Claims,w,weekly,lin,level,dashboard
2013-01-26,CCSA,3138000,Continuing Claims,w,weekly,lin,level,dashboard
2013-02-02,CCSA,3075000,Continuing Claims,w,weekly,lin,level,dashboard
2013-02-09,CCSA,3081000,Continuing Claims,w,weekly,lin,level,dashboard
2013-02-16,CCSA,3036000,Continuing Claims,w,weekly,lin,level,dashboard
2013-02-23,CCSA,3043000,Continuing Claims,w,weekly,lin,level,dashboard
2013-03-02,CCSA,3011000,Continuing Claims,w,weekly,lin,level,dashboard
2013-03-09,CCSA,3024000,Continuing Claims,w,weekly,lin,level,dashboard
2013-03-16,CCSA,3028000,Continuing Claims,w,weekly,lin,level,dashboard
2013-03-23,CCSA,3046000,Continuing Claims,w,weekly,lin,level,dashboard
2013-03-30,CCSA,3080000,Continuing Claims,w,weekly,lin,level,dashboard
2013-04-06,CCSA,3076000,Continuing Claims,w,weekly,lin,level,dashboard
2013-04-13,CCSA,3024000,Continuing Claims,w,weekly,lin,level,dashboard
2013-04-20,CCSA,3027000,Continuing Claims,w,weekly,lin,level,dashboard
2013-04-27,CCSA,3039000,Continuing Claims,w,weekly,lin,level,dashboard
2013-05-04,CCSA,3042000,Continuing Claims,w,weekly,lin,level,dashboard
2013-05-11,CCSA,2975000,Continuing Claims,w,weekly,lin,level,dashboard
2013-05-18,CCSA,3020000,Continuing Claims,w,weekly,lin,level,dashboard
2013-05-25,CCSA,3012000,Continuing Claims,w,weekly,lin,level,dashboard
2013-06-01,CCSA,2999000,Continuing Claims,w,weekly,lin,level,dashboard
2013-06-08,CCSA,3004000,Continuing Claims,w,weekly,lin,level,dashboard
2013-06-15,CCSA,2996000,Continuing Claims,w,weekly,lin,level,dashboard
2013-06-22,CCSA,2962000,Continuing Claims,w,weekly,lin,level,dashboard
2013-06-29,CCSA,3003000,Continuing Claims,w,weekly,lin,level,dashboard
2013-07-06,CCSA,3113000,Continuing Claims,w,weekly,lin,level,dashboard
2013-07-13,CCSA,3011000,Continuing Claims,w,weekly,lin,level,dashboard
2013-07-20,CCSA,2947000,Continuing Claims,w,weekly,lin,level,dashboard
2013-07-27,CCSA,3010000,Continuing Claims,w,weekly,lin,level,dashboard
2013-08-03,CCSA,2944000,Continuing Claims,w,weekly,lin,level,dashboard
2013-08-10,CCSA,2987000,Continuing Claims,w,weekly,lin,level,dashboard
2013-08-17,CCSA,2968000,Continuing Claims,w,weekly,lin,level,dashboard
2013-08-24,CCSA,2934000,Continuing Claims,w,weekly,lin,level,dashboard
2013-08-31,CCSA,2839000,Continuing Claims,w,weekly,lin,level,dashboard
2013-09-07,CCSA,2822000,Continuing Claims,w,weekly,lin,level,dashboard
2013-09-14,CCSA,2863000,Continuing Claims,w,weekly,lin,level,dashboard
2013-09-21,CCSA,2954000,Continuing Claims,w,weekly,lin,level,dashboard
2013-09-28,CCSA,2944000,Continuing Claims,w,weekly,lin,level,dashboard
2013-10-05,CCSA,2929000,Continuing Claims,w,weekly,lin,level,dashboard
2013-10-12,CCSA,2925000,Continuing Claims,w,weekly,lin,level,dashboard
2013-10-19,CCSA,2933000,Continuing Claims,w,weekly,lin,level,dashboard
2013-10-26,CCSA,2927000,Continuing Claims,w,weekly,lin,level,dashboard
2013-11-02,CCSA,2873000,Continuing Claims,w,weekly,lin,level,dashboard
2013-11-09,CCSA,2925000,Continuing Claims,w,weekly,lin,level,dashboard
2013-11-16,CCSA,2837000,Continuing Claims,w,weekly,lin,level,dashboard
2013-11-23,CCSA,2813000,Continuing Claims,w,weekly,lin,level,dashboard
2013-11-30,CCSA,2808000,Continuing Claims,w,weekly,lin,level,dashboard
2013-12-07,CCSA,2892000,Continuing Claims,w,weekly,lin,level,dashboard
2013-12-14,CCSA,2903000,Continuing Claims,w,weekly,lin,level,dashboard
2013-12-21,CCSA,2832000,Continuing Claims,w,weekly,lin,level,dashboard
2013-12-28,CCSA,2807000,Continuing Claims,w,weekly,lin,level,dashboard
2014-01-04,CCSA,2903000,Continuing Claims,w,weekly,lin,level,dashboard
2014-01-11,CCSA,2907000,Continuing Claims,w,weekly,lin,level,dashboard
2014-01-18,CCSA,2847000,Continuing Claims,w,weekly,lin,level,dashboard
2014-01-25,CCSA,2850000,Continuing Claims,w,weekly,lin,level,dashboard
2014-02-01,CCSA,2852000,Continuing Claims,w,weekly,lin,level,dashboard
2014-02-08,CCSA,2859000,Continuing Claims,w,weekly,lin,level,dashboard
2014-02-15,CCSA,2861000,Continuing Claims,w,weekly,lin,level,dashboard
2014-02-22,CCSA,2823000,Continuing Claims,w,weekly,lin,level,dashboard
2014-03-01,CCSA,2787000,Continuing Claims,w,weekly,lin,level,dashboard
2014-03-08,CCSA,2816000,Continuing Claims,w,weekly,lin,level,dashboard
2014-03-15,CCSA,2764000,Continuing Claims,w,weekly,lin,level,dashboard
2014-03-22,CCSA,2800000,Continuing Claims,w,weekly,lin,level,dashboard
2014-03-29,CCSA,2729000,Continuing Claims,w,weekly,lin,level,dashboard
2014-04-05,CCSA,2730000,Continuing Claims,w,weekly,lin,level,dashboard
2014-04-12,CCSA,2680000,Continuing Claims,w,weekly,lin,level,dashboard
2014-04-19,CCSA,2767000,Continuing Claims,w,weekly,lin,level,dashboard
2014-04-26,CCSA,2707000,Continuing Claims,w,weekly,lin,level,dashboard
2014-05-03,CCSA,2702000,Continuing Claims,w,weekly,lin,level,dashboard
2014-05-10,CCSA,2691000,Continuing Claims,w,weekly,lin,level,dashboard
2014-05-17,CCSA,2657000,Continuing Claims,w,weekly,lin,level,dashboard
2014-05-24,CCSA,2646000,Continuing Claims,w,weekly,lin,level,dashboard
2014-05-31,CCSA,2641000,Continuing Claims,w,weekly,lin,level,dashboard
2014-06-07,CCSA,2598000,Continuing Claims,w,weekly,lin,level,dashboard
2014-06-14,CCSA,2595000,Continuing Claims,w,weekly,lin,level,dashboard
2014-06-21,CCSA,2583000,Continuing Claims,w,weekly,lin,level,dashboard
2014-06-28,CCSA,2579000,Continuing Claims,w,weekly,lin,level,dashboard
2014-07-05,CCSA,2540000,Continuing Claims,w,weekly,lin,level,dashboard
2014-07-12,CCSA,2528000,Continuing Claims,w,weekly,lin,level,dashboard
2014-07-19,CCSA,2542000,Continuing Claims,w,weekly,lin,level,dashboard
2014-07-26,CCSA,2524000,Continuing Claims,w,weekly,lin,level,dashboard
2014-08-02,CCSA,2530000,Continuing Claims,w,weekly,lin,level,dashboard
2014-08-09,CCSA,2508000,Continuing Claims,w,weekly,lin,level,dashboard
2014-08-16,CCSA,2517000,Continuing Claims,w,weekly,lin,level,dashboard
2014-08-23,CCSA,2483000,Continuing Claims,w,weekly,lin,level,dashboard
2014-08-30,CCSA,2486000,Continuing Claims,w,weekly,lin,level,dashboard
2014-09-06,CCSA,2452000,Continuing Claims,w,weekly,lin,level,dashboard
2014-09-13,CCSA,2465000,Continuing Claims,w,weekly,lin,level,dashboard
2014-09-20,CCSA,2447000,Continuing Claims,w,weekly,lin,level,dashboard
2014-09-27,CCSA,2427000,Continuing Claims,w,weekly,lin,level,dashboard
2014-10-04,CCSA,2441000,Continuing Claims,w,weekly,lin,level,dashboard
2014-10-11,CCSA,2409000,Continuing Claims,w,weekly,lin,level,dashboard
2014-10-18,CCSA,2437000,Continuing Claims,w,weekly,lin,level,dashboard
2014-10-25,CCSA,2406000,Continuing Claims,w,weekly,lin,level,dashboard
2014-11-01,CCSA,2436000,Continuing Claims,w,weekly,lin,level,dashboard
2014-11-08,CCSA,2384000,Continuing Claims,w,weekly,lin,level,dashboard
2014-11-15,CCSA,2351000,Continuing Claims,w,weekly,lin,level,dashboard
2014-11-22,CCSA,2389000,Continuing Claims,w,weekly,lin,level,dashboard
2014-11-29,CCSA,2484000,Continuing Claims,w,weekly,lin,level,dashboard
2014-12-06,CCSA,2381000,Continuing Claims,w,weekly,lin,level,dashboard
2014-12-13,CCSA,2379000,Continuing Claims,w,weekly,lin,level,dashboard
2014-12-20,CCSA,2338000,Continuing Claims,w,weekly,lin,level,dashboard
2014-12-27,CCSA,2422000,Continuing Claims,w,weekly,lin,level,dashboard
2015-01-03,CCSA,2381000,Continuing Claims,w,weekly,lin,level,dashboard
2015-01-10,CCSA,2400000,Continuing Claims,w,weekly,lin,level,dashboard
2015-01-17,CCSA,2336000,Continuing Claims,w,weekly,lin,level,dashboard
2015-01-24,CCSA,2335000,Continuing Claims,w,weekly,lin,level,dashboard
2015-01-31,CCSA,2297000,Continuing Claims,w,weekly,lin,level,dashboard
2015-02-07,CCSA,2344000,Continuing Claims,w,weekly,lin,level,dashboard
2015-02-14,CCSA,2319000,Continuing Claims,w,weekly,lin,level,dashboard
2015-02-21,CCSA,2341000,Continuing Claims,w,weekly,lin,level,dashboard
2015-02-28,CCSA,2357000,Continuing Claims,w,weekly,lin,level,dashboard
2015-03-07,CCSA,2361000,Continuing Claims,w,weekly,lin,level,dashboard
2015-03-14,CCSA,2361000,Continuing Claims,w,weekly,lin,level,dashboard
2015-03-21,CCSA,2306000,Continuing Claims,w,weekly,lin,level,dashboard
2015-03-28,CCSA,2278000,Continuing Claims,w,weekly,lin,level,dashboard
2015-04-04,CCSA,2273000,Continuing Claims,w,weekly,lin,level,dashboard
2015-04-11,CCSA,2320000,Continuing Claims,w,weekly,lin,level,dashboard
2015-04-18,CCSA,2279000,Continuing Claims,w,weekly,lin,level,dashboard
2015-04-25,CCSA,2254000,Continuing Claims,w,weekly,lin,level,dashboard
2015-05-02,CCSA,2261000,Continuing Claims,w,weekly,lin,level,dashboard
2015-05-09,CCSA,2253000,Continuing Claims,w,weekly,lin,level,dashboard
2015-05-16,CCSA,2258000,Continuing Claims,w,weekly,lin,level,dashboard
2015-05-23,CCSA,2236000,Continuing Claims,w,weekly,lin,level,dashboard
2015-05-30,CCSA,2294000,Continuing Claims,w,weekly,lin,level,dashboard
2015-06-06,CCSA,2250000,Continuing Claims,w,weekly,lin,level,dashboard
2015-06-13,CCSA,2268000,Continuing Claims,w,weekly,lin,level,dashboard
2015-06-20,CCSA,2265000,Continuing Claims,w,weekly,lin,level,dashboard
2015-06-27,CCSA,2312000,Continuing Claims,w,weekly,lin,level,dashboard
2015-07-04,CCSA,2233000,Continuing Claims,w,weekly,lin,level,dashboard
2015-07-11,CCSA,2226000,Continuing Claims,w,weekly,lin,level,dashboard
2015-07-18,CCSA,2267000,Continuing Claims,w,weekly,lin,level,dashboard
2015-07-25,CCSA,2253000,Continuing Claims,w,weekly,lin,level,dashboard
2015-08-01,CCSA,2257000,Continuing Claims,w,weekly,lin,level,dashboard
2015-08-08,CCSA,2247000,Continuing Claims,w,weekly,lin,level,dashboard
2015-08-15,CCSA,2256000,Continuing Claims,w,weekly,lin,level,dashboard
2015-08-22,CCSA,2252000,Continuing Claims,w,weekly,lin,level,dashboard
2015-08-29,CCSA,2258000,Continuing Claims,w,weekly,lin,level,dashboard
2015-09-05,CCSA,2243000,Continuing Claims,w,weekly,lin,level,dashboard
2015-09-12,CCSA,2255000,Continuing Claims,w,weekly,lin,level,dashboard
2015-09-19,CCSA,2234000,Continuing Claims,w,weekly,lin,level,dashboard
2015-09-26,CCSA,2240000,Continuing Claims,w,weekly,lin,level,dashboard
2015-10-03,CCSA,2207000,Continuing Claims,w,weekly,lin,level,dashboard
2015-10-10,CCSA,2214000,Continuing Claims,w,weekly,lin,level,dashboard
2015-10-17,CCSA,2194000,Continuing Claims,w,weekly,lin,level,dashboard
2015-10-24,CCSA,2218000,Continuing Claims,w,weekly,lin,level,dashboard
2015-10-31,CCSA,2205000,Continuing Claims,w,weekly,lin,level,dashboard
2015-11-07,CCSA,2209000,Continuing Claims,w,weekly,lin,level,dashboard
2015-11-14,CCSA,2185000,Continuing Claims,w,weekly,lin,level,dashboard
2015-11-21,CCSA,2181000,Continuing Claims,w,weekly,lin,level,dashboard
2015-11-28,CCSA,2259000,Continuing Claims,w,weekly,lin,level,dashboard
2015-12-05,CCSA,2242000,Continuing Claims,w,weekly,lin,level,dashboard
2015-12-12,CCSA,2190000,Continuing Claims,w,weekly,lin,level,dashboard
2015-12-19,CCSA,2176000,Continuing Claims,w,weekly,lin,level,dashboard
2015-12-26,CCSA,2207000,Continuing Claims,w,weekly,lin,level,dashboard
2016-01-02,CCSA,2218000,Continuing Claims,w,weekly,lin,level,dashboard
2016-01-09,CCSA,2190000,Continuing Claims,w,weekly,lin,level,dashboard
2016-01-16,CCSA,2221000,Continuing Claims,w,weekly,lin,level,dashboard
2016-01-23,CCSA,2199000,Continuing Claims,w,weekly,lin,level,dashboard
2016-01-30,CCSA,2210000,Continuing Claims,w,weekly,lin,level,dashboard
2016-02-06,CCSA,2213000,Continuing Claims,w,weekly,lin,level,dashboard
2016-02-13,CCSA,2206000,Continuing Claims,w,weekly,lin,level,dashboard
2016-02-20,CCSA,2203000,Continuing Claims,w,weekly,lin,level,dashboard
2016-02-27,CCSA,2180000,Continuing Claims,w,weekly,lin,level,dashboard
2016-03-05,CCSA,2203000,Continuing Claims,w,weekly,lin,level,dashboard
2016-03-12,CCSA,2163000,Continuing Claims,w,weekly,lin,level,dashboard
2016-03-19,CCSA,2138000,Continuing Claims,w,weekly,lin,level,dashboard
2016-03-26,CCSA,2165000,Continuing Claims,w,weekly,lin,level,dashboard
2016-04-02,CCSA,2151000,Continuing Claims,w,weekly,lin,level,dashboard
2016-04-09,CCSA,2139000,Continuing Claims,w,weekly,lin,level,dashboard
2016-04-16,CCSA,2135000,Continuing Claims,w,weekly,lin,level,dashboard
2016-04-23,CCSA,2137000,Continuing Claims,w,weekly,lin,level,dashboard
2016-04-30,CCSA,2183000,Continuing Claims,w,weekly,lin,level,dashboard
2016-05-07,CCSA,2185000,Continuing Claims,w,weekly,lin,level,dashboard
2016-05-14,CCSA,2177000,Continuing Claims,w,weekly,lin,level,dashboard
2016-05-21,CCSA,2186000,Continuing Claims,w,weekly,lin,level,dashboard
2016-05-28,CCSA,2131000,Continuing Claims,w,weekly,lin,level,dashboard
2016-06-04,CCSA,2170000,Continuing Claims,w,weekly,lin,level,dashboard
2016-06-11,CCSA,2158000,Continuing Claims,w,weekly,lin,level,dashboard
2016-06-18,CCSA,2160000,Continuing Claims,w,weekly,lin,level,dashboard
2016-06-25,CCSA,2139000,Continuing Claims,w,weekly,lin,level,dashboard
2016-07-02,CCSA,2131000,Continuing Claims,w,weekly,lin,level,dashboard
2016-07-09,CCSA,2125000,Continuing Claims,w,weekly,lin,level,dashboard
2016-07-16,CCSA,2140000,Continuing Claims,w,weekly,lin,level,dashboard
2016-07-23,CCSA,2134000,Continuing Claims,w,weekly,lin,level,dashboard
2016-07-30,CCSA,2143000,Continuing Claims,w,weekly,lin,level,dashboard
2016-08-06,CCSA,2157000,Continuing Claims,w,weekly,lin,level,dashboard
2016-08-13,CCSA,2137000,Continuing Claims,w,weekly,lin,level,dashboard
2016-08-20,CCSA,2148000,Continuing Claims,w,weekly,lin,level,dashboard
2016-08-27,CCSA,2138000,Continuing Claims,w,weekly,lin,level,dashboard
2016-09-03,CCSA,2149000,Continuing Claims,w,weekly,lin,level,dashboard
2016-09-10,CCSA,2110000,Continuing Claims,w,weekly,lin,level,dashboard
2016-09-17,CCSA,2098000,Continuing Claims,w,weekly,lin,level,dashboard
2016-09-24,CCSA,2081000,Continuing Claims,w,weekly,lin,level,dashboard
2016-10-01,CCSA,2080000,Continuing Claims,w,weekly,lin,level,dashboard
2016-10-08,CCSA,2081000,Continuing Claims,w,weekly,lin,level,dashboard
2016-10-15,CCSA,2069000,Continuing Claims,w,weekly,lin,level,dashboard
2016-10-22,CCSA,2066000,Continuing Claims,w,weekly,lin,level,dashboard
2016-10-29,CCSA,2067000,Continuing Claims,w,weekly,lin,level,dashboard
